,Ticker,Start,End,NA_Count,Days,Percent_NA
0,LUMN,2020-09-18,2022-12-30,0,833,0.0
1,VZ,2016-01-04,2022-12-30,120,2552,0.000734717868338558
2,T,2016-01-04,2022-12-30,468,2552,0.0028653996865203764
3,DIS,2016-01-04,2022-12-30,0,2552,0.0
4,TTWO,2016-01-04,2022-12-30,0,2552,0.0
5,NFLX,2016-01-04,2022-12-30,0,2552,0.0
6,ATVI,2016-01-04,2022-12-30,0,2552,0.0
7,LYV,2016-01-04,2022-12-30,0,2552,0.0
8,EA,2016-01-04,2022-12-30,0,2552,0.0
9,WBD,2022-04-11,2022-12-30,0,263,0.0
10,MTCH,2016-01-04,2022-12-30,108,2552,0.0006612460815047022
11,GOOGL,2016-01-04,2022-12-30,0,2552,0.0
12,GOOG,2016-01-04,2022-12-30,0,2552,0.0
14,CMCSA,2016-01-04,2022-12-30,0,2552,0.0
15,DISH,2016-01-04,2022-12-30,0,2552,0.0
17,NWSA,2016-01-04,2022-12-30,2100,2552,0.012857562695924765
18,IPG,2016-01-04,2022-12-30,204,2552,0.0012490203761755486
19,CHTR,2016-01-04,2022-12-30,96,2552,0.0005877742946708464
20,PARA,2022-02-17,2022-12-30,0,316,0.0
21,FOXA,2016-01-04,2022-12-30,348,2552,0.002130681818181818
22,OMC,2016-01-04,2022-12-30,216,2552,0.0013224921630094044
24,TMUS,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
25,APTV,2017-12-06,2022-12-30,0,1850,0.0
26,BWA,2016-01-04,2022-12-30,0,2552,0.0
27,F,2016-01-04,2022-12-30,132,2552,0.0008081896551724138
28,TSLA,2016-01-04,2022-12-30,0,2552,0.0
29,GM,2016-01-04,2022-12-30,0,2552,0.0
30,POOL,2016-01-04,2022-12-30,240,2552,0.001469435736677116
31,GPC,2016-01-04,2022-12-30,180,2552,0.0011020768025078369
32,LKQ,2016-01-04,2022-12-30,156,2552,0.0009551332288401254
33,MGM,2016-01-04,2022-12-30,0,2552,0.0
