,Ticker,Start,End,NA_Count
0,LUMN,2020-09-18,2022-12-30,0
1,VZ,2016-01-04,2022-12-30,120
2,T,2016-01-04,2022-12-30,468
3,DIS,2016-01-04,2022-12-30,0
4,TTWO,2016-01-04,2022-12-30,0
5,NFLX,2016-01-04,2022-12-30,0
6,ATVI,2016-01-04,2022-12-30,0
7,LYV,2016-01-04,2022-12-30,0
8,EA,2016-01-04,2022-12-30,0
9,WBD,2022-04-11,2022-12-30,0
10,MTCH,2016-01-04,2022-12-30,108
11,GOOGL,2016-01-04,2022-12-30,0
12,GOOG,2016-01-04,2022-12-30,0
13,META,2021-07-12,2022-12-30,1764
14,CMCSA,2016-01-04,2022-12-30,0
15,DISH,2016-01-04,2022-12-30,0
16,NWS,2016-01-04,2022-12-30,12216
17,NWSA,2016-01-04,2022-12-30,2100
18,IPG,2016-01-04,2022-12-30,204
19,CHTR,2016-01-04,2022-12-30,96
20,PARA,2022-02-17,2022-12-30,0
21,FOXA,2016-01-04,2022-12-30,348
22,OMC,2016-01-04,2022-12-30,216
23,FOX,2016-01-04,2022-12-30,10296
24,TMUS,2016-01-04,2022-12-30,48
25,APTV,2017-12-06,2022-12-30,0
26,BWA,2016-01-04,2022-12-30,0
27,F,2016-01-04,2022-12-30,132
28,TSLA,2016-01-04,2022-12-30,0
29,GM,2016-01-04,2022-12-30,0
30,POOL,2016-01-04,2022-12-30,240
31,GPC,2016-01-04,2022-12-30,180
32,LKQ,2016-01-04,2022-12-30,156
33,MGM,2016-01-04,2022-12-30,0
34,CMG,2016-01-04,2022-12-30,0
35,CZR,2016-01-04,2022-12-30,192
36,CCL,2016-01-04,2022-12-30,0
37,YUM,2016-01-04,2022-12-30,48
38,DPZ,2016-01-04,2022-12-30,0
39,WYNN,2016-01-04,2022-12-30,0
40,LVS,2016-01-04,2022-12-30,0
41,BKNG,2018-02-27,2022-12-30,0
42,SBUX,2016-01-04,2022-12-30,24
43,HLT,2016-01-04,2022-12-30,96
44,RCL,2016-01-04,2022-12-30,48
45,MCD,2016-01-04,2022-12-30,0
46,MAR,2016-01-04,2022-12-30,0
47,EXPE,2016-01-04,2022-12-30,0
48,DRI,2016-01-04,2022-12-30,48
49,NCLH,2016-01-04,2022-12-30,12
50,LEN,2016-01-04,2022-12-30,0
51,NWL,2016-01-04,2022-12-30,0
52,PHM,2016-01-04,2022-12-30,0
53,DHI,2016-01-04,2022-12-30,0
54,WHR,2016-01-04,2022-12-30,0
55,MHK,2016-01-04,2022-12-30,0
56,GRMN,2016-01-04,2022-12-30,0
57,ETSY,2016-01-04,2022-12-30,132
58,EBAY,2016-01-04,2022-12-30,0
59,AMZN,2016-01-04,2022-12-30,0
60,HAS,2016-01-04,2022-12-30,12
61,TGT,2016-01-04,2022-12-30,0
62,DLTR,2016-01-04,2022-12-30,0
63,DG,2016-01-04,2022-12-30,0
64,ORLY,2016-01-04,2022-12-30,0
65,HD,2016-01-04,2022-12-30,0
66,TSCO,2016-01-04,2022-12-30,0
